id_student,total_early_clicks,clicks_per_active_day,active_days,longest_inactivity_gap,days_since_last_active,activity_delta,weekly_click_ratio,studied_credits
146188,36,18.0,2,7,2,16,2.4545454545454546,60
147756,195,16.25,12,2,0,31,1.3734939759036144,120
147793,0,0.0,0,15,15,0,1.0,90
148993,327,23.357142857142858,14,1,0,163,2.963855421686747,60
151358,27,9.0,3,7,3,17,3.8333333333333335,150
155550,43,14.333333333333334,3,9,2,43,44.0,420
155854,403,31.0,13,1,1,-27,0.875,60
155984,75,15.0,5,3,2,41,3.2777777777777777,60
157568,134,16.75,8,4,0,34,1.6666666666666667,60
159954,253,25.3,10,2,1,33,1.2972972972972974,60
164259,25,12.5,2,8,3,25,26.0,60
167906,112,18.666666666666668,6,4,4,-76,0.2,60
168936,96,19.2,5,5,1,16,1.3902439024390243,60
172112,104,13.0,8,3,1,-30,0.5588235294117647,60
172797,55,27.5,2,13,0,55,56.0,60
174782,626,41.733333333333334,15,0,0,-24,0.9263803680981595,60
175392,562,37.46666666666667,15,0,0,106,1.462882096069869,60
175932,151,15.1,10,2,1,69,2.642857142857143,60
175991,6,3.0,2,11,0,4,3.0,180
180753,293,26.636363636363637,11,2,0,5,1.0344827586206897,120
181316,105,52.5,2,11,0,67,4.35,120
183096,256,25.6,10,2,0,4,1.031496062992126,60
183947,130,43.333333333333336,3,6,3,32,1.64,180
184271,169,16.9,10,2,0,-55,0.5132743362831859,170
185439,36,12.0,3,11,11,-36,0.02702702702702703,120
186149,334,27.833333333333332,12,1,1,106,1.9217391304347826,60
187100,1125,75.0,15,0,0,11,1.0197132616487454,60
188278,722,55.53846153846154,13,2,0,-180,0.6017699115044248,120
189879,200,40.0,5,5,2,190,32.666666666666664,120
192183,296,24.666666666666668,12,1,0,38,1.2923076923076924,60
195262,48,12.0,4,9,9,-48,0.02040816326530612,60
200860,166,20.75,8,2,1,92,3.4210526315789473,60
202635,339,42.375,8,2,1,-93,0.5714285714285714,60
205350,296,26.90909090909091,11,2,0,16,1.1134751773049645,60
205719,96,19.2,5,3,0,62,4.444444444444445,90
227499,255,31.875,8,2,2,-129,0.3316062176165803,60
227517,185,20.555555555555557,9,2,2,-81,0.39552238805970147,180
228082,39,9.75,4,5,4,29,5.833333333333333,60
228222,51,10.2,5,6,4,37,5.625,60
229179,95,23.75,4,5,0,21,1.5526315789473684,60
229361,70,8.75,8,3,0,10,1.3225806451612903,60
231554,129,32.25,4,5,0,81,4.24,240
235507,72,12.0,6,4,0,48,4.6923076923076925,240
236284,0,0.0,0,15,15,0,1.0,60
238007,196,21.77777777777778,9,2,0,-4,0.9603960396039604,60
240712,7,7.0,1,11,3,7,8.0,80
240884,54,27.0,2,11,11,-54,0.01818181818181818,120
241649,260,23.636363636363637,11,1,1,-12,0.9124087591240876,60
241729,150,21.428571428571427,7,2,0,92,4.066666666666666,60
242793,100,20.0,5,6,0,-78,0.13333333333333333,60
246834,88,29.333333333333332,3,7,7,-10,0.8,60
248270,296,19.733333333333334,15,0,0,24,1.1751824817518248,90
255548,404,28.857142857142858,14,1,0,12,1.0609137055837563,60
256815,8,8.0,1,10,10,-8,0.1111111111111111,120
258392,87,21.75,4,6,0,35,2.2962962962962963,60
258894,200,15.384615384615385,13,1,1,44,1.5569620253164558,60
260355,57,19.0,3,11,0,-53,0.05357142857142857,60
262011,275,27.5,10,2,0,189,5.295454545454546,60
262934,419,46.55555555555556,9,4,0,65,1.3651685393258426,60
268073,395,56.42857142857143,7,4,3,31,1.169398907103825,90
268733,49,24.5,2,8,3,-33,0.21428571428571427,180
271251,480,36.92307692307692,13,1,0,232,2.856,60
277880,409,34.083333333333336,12,3,0,169,2.396694214876033,60
279572,142,14.2,10,2,1,-84,0.2631578947368421,60
281022,42,7.0,6,8,0,42,43.0,150
281250,11,11.0,1,13,13,-11,0.08333333333333333,60
281589,24,12.0,2,9,1,24,25.0,60
282821,288,48.0,6,5,2,206,5.904761904761905,60
286488,78,15.6,5,5,5,-6,0.8604651162790697,60
287548,84,16.8,5,5,0,38,2.5833333333333335,120
290201,391,43.44444444444444,9,4,1,69,1.4259259259259258,60
290757,60,20.0,3,4,1,-22,0.47619047619047616,60
291334,590,45.38461538461539,13,1,0,96,1.3870967741935485,60
293699,1,1.0,1,8,8,-1,0.5,120
294570,224,28.0,8,2,1,-62,0.5694444444444444,60
294594,141,20.142857142857142,7,4,0,-25,0.7023809523809523,60
295741,119,13.222222222222221,9,2,0,23,1.469387755102041,240
296332,236,26.22222222222222,9,1,1,20,1.18348623853211,60
298696,90,15.0,6,3,2,-20,0.6428571428571429,60
300398,250,31.25,8,3,0,140,3.5,60
302302,68,17.0,4,6,0,6,1.1875,60
305152,26,26.0,1,11,3,26,27.0,60
305386,220,24.444444444444443,9,4,0,-92,0.4140127388535032,120
306107,144,18.0,8,2,2,38,1.7037037037037037,120
306466,209,41.8,5,7,7,-195,0.03940886699507389,60
306897,488,34.857142857142854,14,1,0,-38,0.8560606060606061,60
307061,117,23.4,5,4,4,67,3.576923076923077,60
307866,216,36.0,6,5,0,24,1.2474226804123711,60
311917,298,37.25,8,3,2,70,1.608695652173913,120
312537,1871,124.73333333333333,15,0,0,-189,0.8166828322017459,60
312782,7,3.5,2,5,5,-1,0.8,60
318933,200,15.384615384615385,13,1,0,-44,0.6422764227642277,120
319047,364,28.0,13,1,0,158,2.519230769230769,60
321942,1047,74.78571428571429,14,1,0,919,15.138461538461538,60
324002,352,27.076923076923077,13,1,0,44,1.2838709677419355,60
324084,146,18.25,8,3,1,22,1.3492063492063493,60
324282,3,1.5,2,8,4,3,4.0,120
331358,623,44.5,14,1,0,-87,0.7556179775280899,60
332789,97,19.4,5,3,2,19,1.475,60
333059,16,8.0,2,7,5,-2,0.8,120
333323,47,23.5,2,8,2,-11,0.6333333333333333,60
334259,55,13.75,4,6,2,9,1.375,150
334333,46,5.111111111111111,9,2,1,-16,0.5,240
335764,539,41.46153846153846,13,1,0,165,1.877659574468085,60
336207,279,25.363636363636363,11,2,2,-9,0.9379310344827586,120
339972,70,35.0,2,11,0,-44,0.2413793103448276,60
341872,0,0.0,0,15,15,0,1.0,180
342007,331,30.09090909090909,11,1,0,37,1.25,60
342514,153,21.857142857142858,7,3,1,77,2.9743589743589745,60
342972,123,24.6,5,5,0,33,1.7173913043478262,60
343446,425,42.5,10,3,0,35,1.1785714285714286,120
344282,24,4.8,5,4,0,-2,0.8571428571428571,60
345068,9,4.5,2,8,1,-1,0.8333333333333334,180
345357,226,25.11111111111111,9,3,1,-18,0.8536585365853658,60
346025,81,10.125,8,2,0,71,12.833333333333334,120
346843,30,15.0,2,9,1,30,31.0,120
350188,75,12.5,6,6,0,7,1.2,60
357668,25,8.333333333333334,3,8,0,-15,0.2857142857142857,60
364177,128,16.0,8,3,0,-54,0.41304347826086957,60
365244,239,29.875,8,5,2,-21,0.8396946564885496,120
365642,284,25.818181818181817,11,3,0,-2,0.9861111111111112,60
366483,168,24.0,7,3,0,68,2.3333333333333335,60
368194,0,0.0,0,15,15,0,1.0,120
368824,19,19.0,1,8,6,19,20.0,120
368963,208,29.714285714285715,7,4,2,46,1.5609756097560976,180
376439,348,31.636363636363637,11,2,1,60,1.4137931034482758,60
376581,194,48.5,4,9,0,118,4.0256410256410255,60
380953,153,15.3,10,2,1,-5,0.9375,60
383254,60,8.571428571428571,7,2,1,-22,0.47619047619047616,120
386924,13,3.25,4,4,4,1,1.1428571428571428,120
386952,110,13.75,8,4,0,-80,0.16666666666666666,120
388722,109,27.25,4,4,3,37,2.0,60
388885,69,11.5,6,3,0,-1,0.9722222222222222,60
390890,190,21.11111111111111,9,2,2,12,1.1333333333333333,90
392756,76,15.2,5,6,0,72,25.0,120
392931,201,33.5,6,3,2,45,1.5696202531645569,120
393207,152,30.4,5,3,1,30,1.4838709677419355,60
396872,28,9.333333333333334,3,6,3,-16,0.30434782608695654,180
398552,177,22.125,8,2,2,93,3.1627906976744184,240
401869,98,12.25,8,2,2,-24,0.6129032258064516,60
402470,251,22.818181818181817,11,2,0,-63,0.6012658227848101,60
404804,34,17.0,2,11,0,-16,0.38461538461538464,120
405088,112,22.4,5,8,0,112,113.0,120
414117,75,12.5,6,8,0,75,76.0,120
415969,296,32.888888888888886,9,2,2,12,1.083916083916084,90
420087,6,6.0,1,14,14,-6,0.14285714285714285,60
429958,19,6.333333333333333,3,5,5,-9,0.4,60
441018,19,6.333333333333333,3,6,3,-7,0.5,150
441888,89,17.8,5,5,0,-39,0.4,120
442442,254,28.22222222222222,9,2,0,120,2.764705882352941,120
444677,97,13.857142857142858,7,3,2,35,2.09375,60
470588,9,4.5,2,6,1,-3,0.5714285714285714,60
489455,237,23.7,10,2,0,-79,0.5031446540880503,60
494424,0,0.0,0,15,15,0,1.0,60
495284,170,21.25,8,5,0,2,1.0235294117647058,120
498857,168,18.666666666666668,9,2,1,-82,0.3492063492063492,60
508818,158,19.75,8,3,0,-56,0.48148148148148145,120
512460,47,15.666666666666666,3,9,9,-47,0.020833333333333332,120
544103,398,30.615384615384617,13,1,1,94,1.6143790849673203,120
550383,213,26.625,8,3,0,27,1.2872340425531914,60
564450,0,0.0,0,15,15,0,1.0,120
568601,72,36.0,2,10,3,72,73.0,60
572652,97,19.4,5,7,0,-85,0.07608695652173914,120
580389,385,55.0,7,3,0,-197,0.3253424657534247,120
581129,14,14.0,1,9,5,14,15.0,120
588775,778,51.86666666666667,15,0,0,-48,0.8840579710144928,120
591774,88,22.0,4,6,0,24,1.7272727272727273,60
603861,112,14.0,8,3,0,92,9.363636363636363,60
606143,92,13.142857142857142,7,3,0,68,6.230769230769231,60
704156,390,35.45454545454545,11,3,0,134,2.0387596899224807,120
705379,297,22.846153846153847,13,1,1,-77,0.5904255319148937,120
721259,461,41.90909090909091,11,2,2,71,1.3622448979591837,120
749412,567,40.5,14,1,0,71,1.285140562248996,60
760729,523,43.583333333333336,12,1,0,-283,0.2995049504950495,60
905042,335,37.22222222222222,9,3,0,-183,0.29615384615384616,60
949618,201,22.333333333333332,9,2,0,21,1.2307692307692308,60
958987,57,9.5,6,5,1,-15,0.5945945945945946,60
968578,21,7.0,3,6,6,-9,0.4375,60
969076,356,25.428571428571427,14,1,0,14,1.0813953488372092,180
971027,318,31.8,10,2,0,62,1.4806201550387597,60
978739,649,92.71428571428571,7,4,1,499,7.565789473684211,60
1035023,137,12.454545454545455,11,1,0,43,1.8958333333333333,60
1105478,261,23.727272727272727,11,2,2,63,1.63,60
1352868,209,34.833333333333336,6,8,0,209,210.0,60
1401935,88,29.333333333333332,3,7,2,-48,0.30434782608695654,60
1402638,159,22.714285714285715,7,5,1,-77,0.35294117647058826,60
1414443,231,77.0,3,8,4,-87,0.45625,120
1456619,176,19.555555555555557,9,2,0,0,1.0,60
1465690,93,18.6,5,5,0,1,1.0212765957446808,120
1472925,0,0.0,0,15,15,0,1.0,60
1488959,414,37.63636363636363,11,2,0,330,8.674418604651162,60
1518989,600,66.66666666666667,9,2,2,-286,0.35585585585585583,60
1618738,263,131.5,2,7,7,231,14.588235294117647,60
1620151,211,23.444444444444443,9,3,0,13,1.13,60
1626710,605,43.214285714285715,14,1,0,121,1.4979423868312758,60
1640609,638,42.53333333333333,15,0,0,200,1.9090909090909092,60
1686521,230,19.166666666666668,12,1,0,8,1.0714285714285714,60
1729319,198,49.5,4,5,1,158,8.523809523809524,60
1746134,295,29.5,10,3,0,-3,0.98,60
1758449,507,56.333333333333336,9,4,0,481,35.357142857142854,75
1765788,892,63.714285714285715,14,1,0,184,1.5183098591549296,60
1801229,298,27.09090909090909,11,2,0,128,2.488372093023256,60
1801641,95,23.75,4,5,5,61,4.388888888888889,60
1847830,477,43.36363636363637,11,2,0,157,1.9751552795031055,60
1860318,155,31.0,5,5,3,-149,0.026143790849673203,300
1889511,164,23.428571428571427,7,4,2,58,2.074074074074074,60
1889577,253,31.625,8,4,0,-41,0.722972972972973,60
1894188,326,27.166666666666668,12,2,0,-66,0.6649746192893401,60
1938355,306,30.6,10,2,1,20,1.1388888888888888,60
1942396,66,22.0,3,9,3,52,7.5,120
1970390,994,82.83333333333333,12,3,0,384,2.2549019607843137,60
1976139,6,6.0,1,11,3,6,7.0,120
2011876,163,32.6,5,3,2,-55,0.5,60
2012966,155,51.666666666666664,3,5,2,-89,0.2764227642276423,60
2051699,209,23.22222222222222,9,3,1,17,1.175257731958763,60
2062879,264,24.0,11,2,1,-108,0.42245989304812837,60
2065691,0,0.0,0,15,15,0,1.0,330
2073016,322,26.833333333333332,12,1,1,-24,0.8620689655172413,60
2080474,93,23.25,4,5,5,3,1.065217391304348,60
2083877,148,18.5,8,2,1,78,3.1666666666666665,120
2084066,289,32.111111111111114,9,4,0,165,3.619047619047619,60
2104505,244,40.666666666666664,6,5,0,-30,0.782608695652174,60
2122180,321,24.692307692307693,13,2,0,-115,0.4748858447488584,60
2139353,102,12.75,8,3,1,-26,0.6,120
2143752,239,29.875,8,3,2,19,1.1711711711711712,60
2146792,230,15.333333333333334,15,0,0,70,1.8641975308641976,60
2153153,641,80.125,8,3,0,63,1.217241379310345,60
2155014,114,22.8,5,6,0,-102,0.06422018348623854,60
2164705,69,34.5,2,7,0,69,70.0,120
2171627,116,29.0,4,5,3,24,1.5106382978723405,60
2182846,443,40.27272727272727,11,2,1,25,1.119047619047619,60
2194100,415,34.583333333333336,12,2,1,-235,0.2791411042944785,60
2197016,126,25.2,5,3,0,72,3.5714285714285716,60
2208424,196,28.0,7,4,0,72,2.142857142857143,60
2229865,358,29.833333333333332,12,1,0,128,2.103448275862069,60
2255601,428,47.55555555555556,9,2,2,252,3.831460674157303,120
2268379,211,19.181818181818183,11,2,2,-71,0.5,60
2278464,89,14.833333333333334,6,7,0,17,1.4594594594594594,60
2293923,48,12.0,4,6,1,16,1.9411764705882353,150
2312620,52,17.333333333333332,3,6,6,-28,0.3170731707317073,60
2329342,144,24.0,6,4,0,-46,0.5208333333333334,120
2339528,0,0.0,0,15,15,0,1.0,60
2342426,233,25.88888888888889,9,3,3,135,3.7,60
2344901,10,5.0,2,7,1,10,11.0,60
2358056,134,16.75,8,2,0,66,2.8857142857142857,60
2358969,129,25.8,5,9,1,129,130.0,180
2364471,646,43.06666666666667,15,0,0,42,1.1386138613861385,60
2367155,174,43.5,4,5,3,110,4.333333333333333,120
2369266,502,45.63636363636363,11,1,0,160,1.930232558139535,60
2376496,154,17.11111111111111,9,3,0,-34,0.6421052631578947,120
2391984,9,4.5,2,9,0,7,4.5,60
2411661,110,27.5,4,5,2,-78,0.17894736842105263,120
2411778,151,25.166666666666668,6,6,0,129,11.75,120
2412002,422,30.142857142857142,14,1,0,78,1.4508670520231215,90
2412967,243,24.3,10,2,1,95,2.2666666666666666,60
2429854,190,31.666666666666668,6,3,3,178,26.428571428571427,120
2437837,198,22.0,9,3,3,-84,0.4084507042253521,60
2449878,37,9.25,4,6,5,9,1.6,60
2456480,3,3.0,1,13,13,-3,0.25,120
2457256,226,37.666666666666664,6,4,2,-82,0.47096774193548385,180
2458355,164,16.4,10,1,1,-32,0.6767676767676768,60
2460080,453,37.75,12,1,1,63,1.3214285714285714,60
2461190,152,25.333333333333332,6,4,0,-4,0.9493670886075949,60
2469673,15,15.0,1,9,9,-15,0.0625,60
2470694,478,31.866666666666667,15,0,0,-96,0.6666666666666666,60
2479954,1,1.0,1,12,2,1,2.0,60
2481901,489,40.75,12,2,2,-35,0.8669201520912547,60
2482700,318,22.714285714285715,14,1,0,6,1.0382165605095541,120
2486127,131,43.666666666666664,3,10,0,31,1.607843137254902,120
2498700,52,8.666666666666666,6,4,1,18,2.0,240
2516503,173,13.307692307692308,13,1,0,-19,0.8041237113402062,60
2518069,228,28.5,8,2,0,0,1.0,60
2521459,118,14.75,8,3,3,-56,0.36363636363636365,60
2523736,69,8.625,8,3,3,5,1.1515151515151516,120
2529279,233,33.285714285714285,7,4,0,33,1.3267326732673268,60
2532302,124,31.0,4,6,0,-20,0.726027397260274,60
2536991,78,13.0,6,7,1,78,79.0,60
2550279,351,35.1,10,4,0,185,3.2023809523809526,60
2551220,63,7.875,8,4,0,43,4.909090909090909,60
2552472,26,26.0,1,13,13,-26,0.037037037037037035,120
2555340,747,49.8,15,0,0,143,1.471947194719472,60
2557283,813,54.2,15,0,0,23,1.0580808080808082,60
2559575,107,11.88888888888889,9,2,0,7,1.1372549019607843,60
2562034,1,1.0,1,10,4,1,2.0,60
2566163,134,33.5,4,5,3,-8,0.8888888888888888,60
2566592,58,9.666666666666666,6,3,2,8,1.3076923076923077,60
2569324,21,21.0,1,7,7,21,22.0,120
2574528,76,12.666666666666666,6,5,1,74,38.0,60
2574583,137,13.7,10,2,0,43,1.8958333333333333,60
2576122,103,20.6,5,4,0,-21,0.6666666666666666,60
2578995,158,17.555555555555557,9,2,2,-30,0.6842105263157895,60
2586560,469,46.9,10,2,0,-77,0.718978102189781,60
2594139,271,45.166666666666664,6,4,4,61,1.5754716981132075,60
2598871,159,22.714285714285715,7,4,1,-73,0.37606837606837606,60
2599352,59,19.666666666666668,3,6,0,49,9.166666666666666,120
2600688,23,11.5,2,9,3,23,24.0,60
2606098,64,10.666666666666666,6,4,0,52,8.428571428571429,60
2613116,86,14.333333333333334,6,5,0,22,1.6666666666666667,60
2617002,106,15.142857142857142,7,4,4,-84,0.125,60
2620584,42,21.0,2,7,3,42,43.0,60
2639449,70,17.5,4,4,4,26,2.130434782608696,120
2639540,160,16.0,10,1,1,12,1.16,60
2639641,209,20.9,10,2,1,17,1.175257731958763,120
2641155,545,36.333333333333336,15,0,0,123,1.580188679245283,60
2643002,247,30.875,8,2,1,-89,0.47337278106508873,60
2645733,129,14.333333333333334,9,3,3,29,1.5686274509803921,180
2649826,259,25.9,10,1,0,167,4.553191489361702,60
2650282,122,20.333333333333332,6,3,2,-22,0.6986301369863014,60
2664024,54,18.0,3,9,3,54,55.0,60
2666246,59,19.666666666666668,3,5,5,21,2.05,60
2669816,58,29.0,2,6,4,48,9.0,60
2671132,326,40.75,8,3,3,-106,0.511520737327189,60
2676809,62,20.666666666666668,3,8,0,-12,0.6842105263157895,150
2678643,178,22.25,8,3,0,24,1.3076923076923077,60
2685865,316,22.571428571428573,14,1,0,140,2.5730337078651684,60
2688067,42,10.5,4,7,3,42,43.0,60
2689958,299,21.357142857142858,14,1,1,55,1.4471544715447155,60
2691206,169,16.9,10,1,0,-61,0.47413793103448276,60
2691244,42,10.5,4,4,2,-8,0.6923076923076923,180
2694424,427,61.0,7,6,1,425,213.5,120
2698257,68,17.0,4,5,3,-48,0.1864406779661017,120
